wine_id,quality
1,5
2,6
3,5
4,7
5,6
6,6
7,6
8,5
9,5
10,6
11,6
12,5
13,5
14,6
15,7
16,6
17,6
18,6
19,6
20,6
21,7
22,5
23,5
24,7
25,6
26,5
27,6
28,6
29,5
30,5
31,5
32,6
33,6
34,6
35,7
36,6
37,6
38,6
39,5
40,6
41,6
42,6
43,5
44,5
45,6
46,5
47,6
48,6
49,5
50,5
51,5
52,7
53,6
54,6
55,5
56,5
57,6
58,5
59,5
60,5
61,6
62,5
63,5
64,6
65,7
66,6
67,6
68,6
69,6
70,6
71,6
72,6
73,6
74,5
75,5
76,6
77,5
78,5
79,5
80,6
81,5
82,6
83,6
84,7
85,7
86,7
87,6
88,6
89,6
90,5
91,5
92,6
93,6
94,5
95,6
96,6
97,6
98,6
99,6
100,6
101,6
102,6
103,6
104,5
105,5
106,6
107,6
108,6
109,6
110,6
111,6
112,5
113,6
114,6
115,6
116,6
117,6
118,5
119,6
120,5
121,6
122,5
123,5
124,6
125,5
126,5
127,6
128,6
129,5
130,5
131,6
132,5
133,6
134,6
135,6
136,6
137,6
138,5
139,6
140,6
141,6
142,5
143,6
144,5
145,6
146,5
147,6
148,6
149,6
150,6
151,7
152,6
153,5
154,6
155,5
156,6
157,6
158,5
159,6
160,6
161,6
162,7
163,6
164,6
165,6
166,6
167,5
168,6
169,7
170,5
171,5
172,6
173,6
174,6
175,6
176,5
177,5
178,6
179,6
180,6
181,7
182,6
183,6
184,7
185,6
186,6
187,6
188,5
189,5
190,6
191,6
192,6
193,5
194,6
195,7
196,6
197,6
198,6
199,6
200,7
201,6
202,5
203,6
204,6
205,6
206,6
207,6
208,5
209,6
210,6
211,6
212,5
213,5
214,6
215,5
216,6
217,5
218,6
219,6
220,6
221,6
222,6
223,6
224,5
225,6
226,5
227,6
228,5
229,6
230,5
231,6
232,5
233,6
234,6
235,6
236,6
237,5
238,5
239,6
240,6
241,6
242,7
243,5
244,6
245,6
246,6
247,5
248,6
249,6
250,6
251,6
252,4
253,6
254,4
255,6
256,6
257,6
258,5
259,7
260,5
261,6
262,6
263,6
264,6
265,6
266,6
267,6
268,6
269,6
270,6
271,5
272,6
273,7
274,6
275,6
276,5
277,6
278,6
279,6
280,6
281,6
282,5
283,6
284,6
285,7
286,6
287,6
288,6
289,6
290,6
291,5
292,6
293,6
294,7
295,6
296,6
297,6
298,6
299,6
300,5
301,7
302,6
303,5
304,6
305,6
306,6
307,5
308,6
309,6
310,5
311,6
312,7
313,6
314,6
315,6
316,6
317,6
318,5
319,6
320,6
321,6
322,6
323,6
324,6
325,5
326,5
327,6
328,6
329,5
330,5
331,6
332,6
333,5
334,6
335,6
336,6
337,6
338,5
339,6
340,6
341,6
342,5
343,5
344,5
345,6
346,7
347,6
348,6
349,5
350,7
351,5
352,5
353,6
354,6
355,5
356,6
357,6
358,5
359,6
360,6
361,6
362,6
363,6
364,6
365,6
366,7
367,5
368,5
369,5
370,5
371,6
372,5
373,6
374,6
375,6
376,5
377,6
378,6
379,6
380,6
381,7
382,6
383,7
384,6
385,5
386,5
387,6
388,5
389,5
390,6
391,7
392,6
393,5
394,6
395,6
396,6
397,6
398,6
399,6
400,6
401,5
402,6
403,5
404,6
405,6
406,6
407,6
408,6
409,5
410,6
411,5
412,6
413,6
414,6
415,5
416,5
417,6
418,5
419,6
420,6
421,6
422,6
423,6
424,7
425,5
426,6
427,5
428,7
429,6
430,6
431,5
432,6
433,5
434,6
435,6
436,6
437,5
438,5
439,5
440,6
441,6
442,6
443,6
444,5
