wine_id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1,7.4,0.28,0.3,5.3,0.054,44,161,0.9941,3.12,0.48,10.3,6
2,6.8,0.32,0.21,2.2,0.044,15,68,0.9932,3.17,0.39,9.4,6
3,6,0.17,0.29,5,0.028,25,108,0.99076,3.14,0.34,12.3,6
4,8.1,0.29,0.49,7.1,0.042,22,124,0.9944,3.14,0.41,10.8,6
5,5,0.35,0.25,7.8,0.031,24,116,0.99241,3.39,0.4,11.3,6
6,6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5
7,6.7,0.26,0.39,1.1,0.04,45,147,0.9935,3.32,0.58,9.6,8
8,6.6,0.22,0.28,4.9,0.042,51,180,0.9952,3.3,0.75,9.5,6
9,5.8,0.2,0.16,1.4,0.042,44,99,0.98912,3.23,0.37,12.2,6
10,7.8,0.24,0.32,12.2,0.054,42,138,0.9984,3.01,0.54,8.8,5
11,6.6,0.39,0.39,11.9,0.057,51,221,0.99851,3.26,0.51,8.9,6
12,5.2,0.31,0.2,2.4,0.027,27,117,0.98886,3.56,0.45,13,7
13,6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,5
14,6.4,0.14,0.31,1.2,0.034,53,138,0.99084,3.38,0.35,11.5,7
15,7.1,0.29,0.28,9.3,0.048,50,141,0.9949,3.13,0.49,10.3,6
16,5.5,0.315,0.38,2.6,0.033,10,69,0.9909,3.12,0.59,10.8,6
17,7.2,0.32,0.3,8.25,0.02,14,104,0.99362,2.99,0.44,11.4,6
18,6.2,0.19,0.38,5.1,0.019,22,82,0.98961,3.05,0.36,12.5,6
19,6.2,0.21,0.34,6.6,0.03,36,91,0.9914,3.32,0.45,12.5,7
20,8.5,0.24,0.47,15.2,0.057,40,234,1.0005,3.02,0.66,9,5
21,6.7,0.25,0.33,2.9,0.057,52,173,0.9934,3.02,0.48,9.5,7
22,5.4,0.595,0.1,2.8,0.042,26,80,0.9932,3.36,0.38,9.3,5
23,7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,6
